"item","zone","word","avg_RT","sd"
1,1,"If",578.964285714286,276.061344956156
1,2,"you",369.011904761905,160.579934983234
1,3,"were",368.183908045977,168.027166182279
1,4,"to",344.318181818182,224.916666327906
1,5,"journey",354.639534883721,310.065644389006
1,6,"to",349.674157303371,198.212854784544
1,7,"the",376.370786516854,334.078936712652
1,8,"North",327.310344827586,181.58086867422
1,9,"of",365.494382022472,336.905271404141
1,10,"England,",344.931034482759,207.07300100832
1,11,"you",400.269662921348,295.97207961244
1,12,"would",372.590909090909,212.704837656275
1,13,"come",350.379310344828,159.260737024724
1,14,"to",319.080459770115,117.275983226092
1,15,"a",355.931034482759,318.75629653985
1,16,"valley",343.858823529412,213.12209517312
1,17,"that",330.732558139535,180.977699270874
1,18,"is",346.779069767442,367.915859983448
1,19,"surrounded",360.287356321839,326.442092448262
1,20,"by",337.046511627907,151.949984571297
1,21,"moors",359.364705882353,222.971429253403
1,22,"as",395.43023255814,236.747397809051
1,23,"high",414.597701149425,280.12573836936
1,24,"as",390.953488372093,249.349360724206
1,25,"mountains.",434.036144578313,329.572133774329
1,26,"It",457.345238095238,338.494700855378
1,27,"is",399.928571428571,274.378324063704
1,28,"in",325.24705882353,161.355707757025
1,29,"this",318.267441860465,134.349537481951
1,30,"valley",341.223529411765,263.117770864185
1,31,"where",375.8,269.719995904042
1,32,"you",363.129411764706,322.156527624874
1,33,"would",365.436781609195,269.787371105703
1,34,"find",323.558139534884,148.068315286533
1,35,"the",305.329411764706,124.574455479377
1,36,"city",355.857142857143,310.355456640345
1,37,"of",320.298850574713,155.722032835085
1,38,"Bradford,",418.436781609195,401.834187172046
1,39,"where",440.576470588235,284.258449489971
1,40,"once",377.309523809524,159.594514519863
1,41,"a",353.954022988506,158.976296905587
1,42,"thousand",397.413793103448,260.391858182121
1,43,"spinning",455.139534883721,270.300711095263
1,44,"jennies",459.02380952381,324.279924302746
1,45,"that",539.317647058823,288.130683468982
1,46,"hummed",538.53488372093,318.145534499152
1,47,"and",432.313953488372,216.913821956902
1,48,"clattered",407.406976744186,191.766302499375
1,49,"spun",414.811764705882,212.183573604469
1,50,"wool",453.964705882353,319.894828217726
1,51,"into",426.872093023256,201.79300964466
1,52,"money",392.559523809524,191.724095888724
1,53,"for",384.206896551724,165.909273184559
1,54,"the",385.471264367816,161.875191592269
1,55,"long-bearded",462.64705882353,324.710702959183
1,56,"mill",441.197674418605,226.71935591711
1,57,"owners.",476.869047619048,361.358273631549
1,58,"That",480.586206896552,304.594757537233
1,59,"all",415.689655172414,184.624591469991
1,60,"mill",439.011494252874,246.734604347718
1,61,"owners",429.528735632184,269.69098764294
1,62,"were",381.528735632184,167.893296615388
1,63,"generally",387.197674418605,148.164758830276
1,64,"busy",378.540229885057,141.436714798421
1,65,"as",369.511904761905,144.927941716924
1,66,"beavers",388.720930232558,244.342028898393
1,67,"and",359.790697674419,151.967342953061
1,68,"quite",362.505747126437,175.958760599473
1,69,"pleased",385.735632183908,182.036378920445
1,70,"with",343.93023255814,125.667609257182
1,71,"themselves",370.379310344828,168.496445437583
1,72,"for",371.470588235294,159.523888958549
1,73,"being",349.058139534884,134.798529809679
1,74,"so",339.46511627907,124.792033840251
1,75,"successful",345.964705882353,147.182300878457
1,76,"and",380.476744186047,271.579724043655
1,77,"well",362.952941176471,167.0089038033
1,78,"off",361.27380952381,193.632016619183
1,79,"was",357.091954022989,186.199357540414
1,80,"known",353.413793103448,143.702175197091
1,81,"to",357.023255813953,147.029566994028
1,82,"the",344.453488372093,148.286975904771
1,83,"residents",381.802325581395,246.99363267656
1,84,"of",365.5,190.69370266292
1,85,"Bradford,",388.96511627907,289.254801075592
1,86,"and",399.611764705882,180.931787601587
1,87,"if",367.630952380952,143.64906868484
1,88,"you",328.686046511628,121.23378112293
1,89,"were",329.862068965517,133.065307659985
1,90,"to",331.604651162791,161.778736265073
1,91,"go",315.418604651163,118.673299947305
1,92,"into",344.793103448276,178.995331752238
1,93,"the",332.282352941176,131.522459766266
1,94,"city",326.129411764706,121.619311224596
1,95,"to",319.583333333333,108.014190091137
1,96,"visit",319.081395348837,124.544838617525
1,97,"the",330.918604651163,131.823608982188
