Text_ID,Sent_ID,Sent,Word_ID,Word
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",1,If
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",2,you
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",3,were
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",4,to
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",5,journey
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",6,to
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",7,the
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",8,North
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",9,of
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",10,"England,"
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",11,you
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",12,would
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",13,come
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",14,to
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",15,a
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",16,valley
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",17,that
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",18,is
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",19,surrounded
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",20,by
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",21,moors
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",22,as
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",23,high
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",24,as
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.",25,mountains.
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",26,It
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",27,is
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",28,in
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",29,this
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",30,valley
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",31,where
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",32,you
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",33,would
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",34,find
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",35,the
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",36,city
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",37,of
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",38,"Bradford,"
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",39,where
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",40,once
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",41,a
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",42,thousand
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.",43,spinning
