Text_ID,Sent_ID,Word_Number,Word,POS_Tag
1,1,1,If,IN
1,1,2,you,PRP
1,1,3,were,VBD
1,1,4,to,TO
1,1,5,journey,VB
1,1,6,to,TO
1,1,7,the,DT
1,1,8,North,NNP
1,1,9,of,IN
1,1,10,England,NNP
1,1,11,",",","
1,1,12,you,PRP
1,1,13,would,MD
1,1,14,come,VB
1,1,15,to,TO
1,1,16,a,DT
1,1,17,valley,NN
1,1,18,that,WDT
1,1,19,is,VBZ
1,1,20,surrounded,VBN
1,1,21,by,IN
1,1,22,moors,NNS
1,1,23,as,RB
1,1,24,high,JJ
1,1,25,as,IN
1,1,26,mountains,NNS
1,1,27,.,.
1,2,1,It,PRP
1,2,2,is,VBZ
1,2,3,in,IN
1,2,4,this,DT
1,2,5,valley,NN
1,2,6,where,WRB
1,2,7,you,PRP
1,2,8,would,MD
1,2,9,find,VB
1,2,10,the,DT
1,2,11,city,NN
1,2,12,of,IN
1,2,13,Bradford,NNP
1,2,14,",",","
1,2,15,where,WRB
1,2,16,once,RB
1,2,17,a,DT
1,2,18,thousand,CD
1,2,19,spinning,VBG
1,2,20,jennies,NNS
1,2,21,that,WDT
1,2,22,hummed,VBD
1,2,23,and,CC
1,2,24,clattered spun,VBD
1,2,25,wool,NN
1,2,26,into,IN
1,2,27,money,NN
1,2,28,for,IN
1,2,29,the,DT
1,2,30,long - bearded,JJ
1,2,31,mill,NN
1,2,32,owners,NNS
1,2,33,.,.
1,3,1,That,IN
1,3,2,all,DT
1,3,3,mill,NN
1,3,4,owners,NNS
1,3,5,were,VBD
1,3,6,generally,RB
1,3,7,busy,JJ
1,3,8,as,IN
1,3,9,beavers,NNS
1,3,10,and,CC
1,3,11,quite,RB
1,3,12,pleased,JJ
1,3,13,with,IN
1,3,14,themselves,PRP
1,3,15,for,IN
1,3,16,being,VBG
1,3,17,so,RB
1,3,18,successful,JJ
1,3,19,and,CC
1,3,20,well off,RB
1,3,21,was,VBD
1,3,22,known,VBN
1,3,23,to,TO
1,3,24,the,DT
1,3,25,residents,NNS
1,3,26,of,IN
1,3,27,Bradford,NNP
1,3,28,",",","
1,3,29,and,CC
1,3,30,if,IN
1,3,31,you,PRP
1,3,32,were,VBD
1,3,33,to,TO
1,3,34,go,VB
1,3,35,into,IN
1,3,36,the,DT
1,3,37,city,NN
1,3,38,to,TO
1,3,39,visit,VB
1,3,40,the,DT
1,3,41,stately,JJ
1,3,42,City Hall,NNP
1,3,43,",",","
1,3,44,you,PRP
1,3,45,would,MD
1,3,46,see,VB
1,3,47,there,RB
1,3,48,the,DT
1,3,49,Crest,NNP
1,3,50,of,IN
1,3,51,the,DT
1,3,52,City,NNP
1,3,53,of,IN
1,3,54,Bradford,NNP
1,3,55,",",","
1,3,56,which,WDT
1,3,57,those,DT
1,3,58,same,JJ
1,3,59,mill,NN
1,3,60,owners,NNS
1,3,61,created,VBD
1,3,62,to,TO
1,3,63,celebrate,VB
1,3,64,their,PRP$
1,3,65,achievements,NNS
1,3,66,.,.
1,4,1,It,PRP
1,4,2,shows,VBZ
1,4,3,a,DT
1,4,4,sinister,JJ
1,4,5,looking,VBG
1,4,6,boar,NN
1,4,7,',POS
1,4,8,s,PRP$
1,4,9,head,NN
1,4,10,sitting,VBG
1,4,11,on,IN
1,4,12,top,NN
1,4,13,of,IN
1,4,14,a,DT
1,4,15,well,NN
1,4,16,which,WDT
1,4,17,seems,VBZ
1,4,18,puzzling,JJ
1,4,19,at,IN
1,4,20,first,JJ
1,4,21,",",","
1,4,22,but,CC
1,4,23,the,DT
1,4,24,reason,NN
1,4,25,for,IN
1,4,26,this,DT
1,4,27,symbol,NN
1,4,28,is,VBZ
1,4,29,a,DT
1,4,30,matter,NN
1,4,31,of,IN
1,4,32,legend,NN
1,4,33,.,.
1,5,1,There,EX
1,5,2,was,VBD
1,5,3,once,RB
1,5,4,",",","
1,5,5,legend,NN
1,5,6,has,VBZ
1,5,7,it,PRP
1,5,8,",",","
1,5,9,a,DT
1,5,10,fearsome,JJ
1,5,11,boar,NN
1,5,12,",",","
1,5,13,which,WDT
1,5,14,lived,VBD
1,5,15,in,IN
1,5,16,a,DT
1,5,17,wood,NN
1,5,18,located,VBN
1,5,19,just,RB
1,5,20,outside,IN
1,5,21,the,DT
1,5,22,manor,NN
1,5,23,of,IN
1,5,24,Bradford,NNP
1,5,25,.,.
1,6,1,A,DT
1,6,2,source,NN
1,6,3,of,IN
1,6,4,great,JJ
1,6,5,trouble,NN
1,6,6,to,TO
1,6,7,the,DT
1,6,8,local,JJ
1,6,9,folk,NN
1,6,10,the,DT
1,6,11,boar,NN
1,6,12,was,VBD
1,6,13,",",","
1,6,14,bringing,VBG
1,6,15,terror,NN
1,6,16,to,TO
1,6,17,the,DT
1,6,18,peaceful,JJ
1,6,19,flocks,NNS
1,6,20,and,CC
1,6,21,ravaging,VBG
1,6,22,the,DT
1,6,23,countryside,NN
1,6,24,around,RP
1,6,25,.,.
1,7,1,Even,RB
1,7,2,worse,JJR
1,7,3,",",","
1,7,4,however,RB
1,7,5,",",","
1,7,6,the,DT
1,7,7,boar,NN
1,7,8,most,RBS
1,7,9,liked,VBD
1,7,10,to,TO
1,7,11,go,VB
1,7,12,to,TO
1,7,13,the,DT
1,7,14,well,NN
1,7,15,that,WDT
1,7,16,was,VBD
1,7,17,in,IN
1,7,18,the,DT
1,7,19,wood,NN
1,7,20,and,CC
1,7,21,drink,VB
1,7,22,its,PRP$
1,7,23,fresh,JJ
1,7,24,water,NN
1,7,25,",",","
1,7,26,so that,IN
1,7,27,the,DT
1,7,28,people,NNS
1,7,29,of,IN
1,7,30,Bradford,NNP
1,7,31,had,VBD
1,7,32,second,JJ
1,7,33,thoughts,NNS
1,7,34,about,IN
1,7,35,visiting,VBG
1,7,36,the,DT
1,7,37,well,NN
1,7,38,.,.
1,8,1,That,IN
1,8,2,the,DT
1,8,3,people,NNS
1,8,4,of,IN
1,8,5,Bradford,NNP
1,8,6,bore,VBD
1,8,7,the,DT
1,8,8,brunt,NN
1,8,9,of,IN
1,8,10,the,DT
1,8,11,beast,NN
1,8,12,' s,POS
1,8,13,ferocity,NN
1,8,14,was,VBD
1,8,15,unfair,JJ
1,8,16,in,IN
1,8,17,the,DT
1,8,18,eyes,NNS
1,8,19,of,IN
1,8,20,the,DT
1,8,21,people,NNS
1,8,22,of,IN
1,8,23,the,DT
1,8,24,region,NN
1,8,25,.,.
1,9,1,Eventually,RB
1,9,2,",",","
1,9,3,the,DT
1,9,4,issue,NN
1,9,5,reached,VBD
1,9,6,the,DT
1,9,7,ears,NNS
1,9,8,of,IN
1,9,9,the,DT
1,9,10,kindly,RB
1,9,11,Lord,NNP
1,9,12,of,IN
1,9,13,the,DT
1,9,14,Manor,NNP
1,9,15,who,WP
1,9,16,the,DT
1,9,17,people,NNS
1,9,18,had,VBD
1,9,19,often,RB
1,9,20,asked,VBN
1,9,21,for,IN
1,9,22,help,NN
1,9,23,.,.
1,10,1,The,DT
1,10,2,Lord,NNP
1,10,3,saw,VBD
1,10,4,the,DT
1,10,5,severity,NN
1,10,6,of,IN
1,10,7,the,DT
1,10,8,problem,NN
1,10,9,the,DT
1,10,10,people,NNS
1,10,11,faced,VBD
1,10,12,and,CC
1,10,13,suggested,VBD
1,10,14,a,DT
1,10,15,contest,NN
1,10,16,could,MD
1,10,17,solve,VB
1,10,18,the,DT
1,10,19,problem,NN
1,10,20,.,.
1,11,1,He,PRP
1,11,2,said,VBD
1,11,3,that,IN
1,11,4,whoever,WP
1,11,5,could,MD
1,11,6,kill,VB
1,11,7,the,DT
1,11,8,boar,NN
1,11,9,and,CC
1,11,10,bring,VB
1,11,11,as,RB
1,11,12,proof,JJ
1,11,13,its,PRP$
1,11,14,head,NN
1,11,15,to,TO
1,11,16,the,DT
1,11,17,Manor House,NNP
1,11,18,would,MD
1,11,19,be,VB
1,11,20,rewarded,VBN
1,11,21,with,IN
1,11,22,land,NN
1,11,23,and,CC
1,11,24,fame,NN
1,11,25,.,.
1,12,1,It,PRP
1,12,2,was,VBD
1,12,3,the,DT
1,12,4,people,NNS
1,12,5,of,IN
1,12,6,Bradford,NNP
1,12,7,and,CC
1,12,8,the,DT
1,12,9,people,NNS
1,12,10,who,WP
1,12,11,knew,VBD
1,12,12,them,PRP
1,12,13,who,WP
1,12,14,rejoiced,VBD
1,12,15,at,IN
1,12,16,this,DT
1,12,17,proclamation,NN
1,12,18,but,CC
1,12,19,one,CD
1,12,20,question,NN
1,12,21,remained,VBD
1,12,22,:,:
1,12,23,who,WP
1,12,24,would,MD
1,12,25,kill,VB
1,12,26,the,DT
1,12,27,boar,NN
1,12,28,?,.
1,13,1,By,IN
1,13,2,the,DT
1,13,3,handsome,JJ
1,13,4,reward,NN
1,13,5,many,JJ
1,13,6,felt,VBD
1,13,7,tempted,JJ
1,13,8,",",","
1,13,9,but,CC
1,13,10,the,DT
1,13,11,thought,NN
1,13,12,of,IN
1,13,13,the,DT
1,13,14,boar,NN
1,13,15,with,IN
1,13,16,its,PRP$
1,13,17,deadly,JJ
1,13,18,tusks,NNS
1,13,19,and,CC
1,13,20,face,NN
1,13,21,like,IN
1,13,22,thunder,NN
1,13,23,soon,RB
1,13,24,put,VBD
1,13,25,an,DT
1,13,26,end,NN
1,13,27,to,TO
1,13,28,their,PRP$
1,13,29,ambitions,NNS
1,13,30,.,.
1,14,1,However,RB
1,14,2,",",","
1,14,3,there,EX
1,14,4,was,VBD
1,14,5,one,CD
1,14,6,huntsman,NN
1,14,7,",",","
1,14,8,who,WP
1,14,9,was,VBD
1,14,10,still,RB
1,14,11,wet,JJ
1,14,12,behind,IN
1,14,13,the,DT
1,14,14,ears,NNS
1,14,15,",",","
1,14,16,who,WP
1,14,17,decided,VBD
1,14,18,the,DT
1,14,19,prize,NN
1,14,20,was,VBD
1,14,21,worth,JJ
1,14,22,a,DT
1,14,23,shot,NN
1,14,24,",",","
1,14,25,in,IN
1,14,26,spite,NN
1,14,27,of,IN
1,14,28,the,DT
1,14,29,boar,NN
1,14,30,',POS
1,14,31,s,PRP$
1,14,32,reputation,NN
1,14,33,.,.
1,15,1,The,DT
1,15,2,huntsman,NN
1,15,3,discovered,VBD
1,15,4,the,DT
1,15,5,boar,NN
1,15,6,preferred,VBD
1,15,7,to,TO
1,15,8,come,VB
1,15,9,out,RB
1,15,10,in,IN
1,15,11,the,DT
1,15,12,middle,NN
1,15,13,of,IN
1,15,14,the,DT
1,15,15,day,NN
1,15,16,.,.
1,16,1,So,IN
1,16,2,he,PRP
